faq_id,user_tier,category,language,question,answer
FAQ_001_KI,Informal/Machinga,Savings & Investments,Kiswahili,Nawezaje kuweka akiba kidogo kidogo kwenye vikundi vya simu (Vicoba vya kidijitali)?,Unaweza kujiunga na kuweka akiba kupitia menyu za simu kama M-Pesa Vikoba (*150*00#) au Tigo Nivushe ambapo mnaweka akiba na kukopeshana kidijitali.
FAQ_001_EN,Informal/Machinga,Savings & Investments,English,How can I save money bit by bit in mobile-based groups (Digital Vicoba)?,"You can join and save through mobile menus like M-Pesa Vikoba (*150*00#) or Tigo Nivushe, allowing group savings and digital lending."
FAQ_002_KI,Informal/Machinga,Savings & Investments,Kiswahili,"Je, ninaweza kuanza kuweka akiba UTT AMIS nikiwa kama mmachinga mwenye kipato cha kila siku?","Ndio, unaweza kuweka akiba kuanzia TZS 5,000 kwenye mifuko kama Wekeza au Watoto kupitia mtandao wa simu, na utapata faida kulingana na soko."
FAQ_002_EN,Informal/Machinga,Savings & Investments,English,Can I start saving with UTT AMIS as a machinga with daily informal income?,"Yes, you can save from TZS 5,000 in funds like Wekeza or Watoto via mobile money and earn compound interest based on market performance."
FAQ_003_KI,Informal/Machinga,Savings & Investments,Kiswahili,Ni salama gani kuweka akiba kwenye simu kuliko kuficha fedha taslimu nyumbani?,"Kuweka kwenye simu kuna usalama wa namba ya siri (PIN) na inakulinda dhidi ya wizi au moto, huku ikitengeneza kumbukumbu ya muamala kibenki."
FAQ_003_EN,Informal/Machinga,Savings & Investments,English,How safe is it to save on my mobile phone compared to keeping cash at home?,"Saving on a mobile wallet secures your money with a PIN, protects it from theft or fire, and builds a financial transaction history."
FAQ_004_KI,Informal/Machinga,Loans & Credit,Kiswahili,Nawezaje kupata mkopo wa haraka wa dharura kwenye simu yangu kwa ajili ya kuongeza mzigo?,"Unaweza kupata mikopo ya papo hapo kupitia menyu za simu: piga *150*00# kupata Songesha/M-Pawa (Vodacom), *150*01# Nivushe (Tigo), au *150*60# Airtel Timiza."
FAQ_004_EN,Informal/Machinga,Loans & Credit,English,How can I get an instant emergency loan on my phone to top up my business stock?,"You can get instant loans via mobile money menus: dial *150*00# for Songesha/M-Pawa, *150*01# for Nivushe (Tigo), or *150*60# for Airtel Timiza."
FAQ_005_KI,Informal/Machinga,Loans & Credit,Kiswahili,Nini madhara ya kuchukua mikopo ya mtaani isiyo rasmi inayojulikana kama Kausha Damu?,"Mikopo hii ina riba kubwa sana isiyo na udhibiti (hadi 50% kwa wiki), haina mikataba ya kisheria, na mbinu zao za kudai hutumia udhalilishaji."
FAQ_005_EN,Informal/Machinga,Loans & Credit,English,What are the dangers of taking informal street loans commonly known as 'Kausha Damu'?,"These loans carry unregulated exorbitant interest rates (up to 50% weekly), lack legal contracts, and use harassment for recovery."
FAQ_006_KI,Informal/Machinga,Loans & Credit,Kiswahili,Machinga anawezaje kupata mkopo wa kikundi bila kuwa na dhamana ya mali kama nyumba?,"Mnaweza kuunda kikundi kilichosajiliwa ambapo wanachama wanakuwa dhamana ya pamoja (peer pressure lending). Mmoja akifeli, kikundi kinalipa."
FAQ_006_EN,Informal/Machinga,Loans & Credit,English,How can a street vendor get a group loan without collateral like a house?,"You can form a registered group where members provide a joint guarantee. If one person defaults, the group covers the repayment."
FAQ_007_KI,Informal/Machinga,Taxes & Regulation,Kiswahili,Machinga anapaswa kulipa kodi gani TRA na utaratibu wake ukoje?,"Machinga wadogo hawatakiwi kulipa kodi ya mapato ya TRA ikiwa mauzo yao hayazidi milioni 4 kwa mwaka, badala yake wanatumia vitambulisho maalum."
FAQ_007_EN,Informal/Machinga,Taxes & Regulation,English,What tax does a machinga pay to TRA and what is the exact procedure?,"Small street vendors are exempt from TRA income tax if their annual turnover is below TZS 4 million, using special identification cards instead."
FAQ_008_KI,Informal/Machinga,Taxes & Regulation,Kiswahili,Nini umuhimu wa kitambulisho cha mjasiriamali mdogo (Machinga) kilichotolewa na serikali?,"Kinakutofautisha kama mfanyabiashara mdogo rasmi, kinakulinda usisumbuliwe na mgambo na unalipia ada ndogo tu ya halmashauri kila mwaka."
FAQ_008_EN,Informal/Machinga,Taxes & Regulation,English,What is the importance of the micro-entrepreneur ID (Machinga ID) issued by the government?,"It identifies you as an official small trader, protects you from city militia evictions, and requires only a small annual municipal fee."
FAQ_009_KI,Informal/Machinga,Taxes & Regulation,Kiswahili,"Je, ninaweza kupata namba ya TIN kama nina kitambulisho cha Machinga pekee?","Ndio, unaweza kwenda TRA ukiwa na namba ya NIDA na kitambulisho chako cha Machinga ili upate TIN ya duka au biashara yako ndogo bure."
FAQ_009_EN,Informal/Machinga,Taxes & Regulation,English,Can I get a TIN number if I only possess a Machinga identification card?,"Yes, you can visit TRA with your NIDA number and Machinga ID to get a Taxpayer Identification Number (TIN) for your small business for free."
FAQ_010_KI,Informal/Machinga,Mobile Money & Digital Banking,Kiswahili,Nifanye nini nikituma pesa kimakosa kwenda namba nyingine ya simu?,Piga simu huduma kwa wateja ya mtandao wako (100) mara moja ili wazuie muamala huo kabla aliyepokea hajazitoa fedha hizo.
FAQ_010_EN,Informal/Machinga,Mobile Money & Digital Banking,English,What should I do if I accidentally send money to the wrong mobile number?,Call your network's customer service (100) immediately to freeze the transaction before the recipient withdraws the funds.
